station_id,station_name,city,metro_line_id,line_name,zone_sector,station_type,interchange_flag,num_platforms,num_entry_exit_gates,num_escalators,num_lifts,num_ticket_counters,num_afc_gates,platform_capacity,concourse_area_sqm,max_safe_occupancy,nearby_poi_count,poi_category,connecting_transport_modes,station_tier,time_slot,day_of_week,is_weekend,direction,platform_id,entry_count,exit_count,transfer_count,avg_dwell_time,queue_length_at_gate,train_arrivals_in_slot,train_headway_minutes,train_capacity,train_load_factor,afc_smart_card_taps,qr_ticket_taps,token_sales_count,historical_avg_footfall,historical_peak_footfall,historical_std_dev,is_holiday,holiday_type,is_festival,festival_name,school_college_session_flag,office_hours_flag,weather_condition,temperature,rainfall_mm,aqi_index,special_event_flag,event_type,event_distance_km,expected_event_attendance,strike_or_disruption_flag,service_alert_active,current_train_frequency,scheduled_train_frequency,platform_congestion_flag,hour,minute,day,month,year,day_of_week_number,peak_period
KOC014,Town Hall,Kochi,L_LINE_1,Line 1,Central,Regular,0,4,16,6,4,4,24,2269,1021,2609,8,Education,Metro;Bus,Tier-1,06-07,Wednesday,0,Outbound,KOC014-P1,600,573,35,6.44,0,9,6.7,1500,0.2,357,82,45,652,880,104,0,Unknown,0,Unknown,0,0,Light Rain,34.0,10.6,87,0,Unknown,0.0,0,0,0,6.6,8,0,6,0,1,7,2026,2,Normal
PUN004,Kasarwadi,Pune,L_LINE_1,Line 1,Central,Regular,0,3,10,2,4,13,9,1801,810,2071,11,Transit Hub,Metro;Auto;Bus,Tier-2,06-07,Wednesday,0,Inbound,PUN004-P1,1214,1051,82,2.73,11,8,7.5,1500,0.2,777,266,56,776,1047,124,0,Unknown,0,Unknown,0,0,Light Rain,34.7,4.4,117,1,Conference,2.5,16839,0,0,7.97,8,0,6,0,1,7,2026,2,Normal
KOC004,Ambattukavu,Kochi,L_LINE_1,Line 1,Central,Regular,0,4,17,6,2,13,20,1750,787,2012,8,Transit Hub,Metro;Auto;Bus,Tier-3,06-07,Wednesday,0,Outbound,KOC004-P1,433,385,22,3.82,22,8,7.5,1200,0.2,306,82,28,503,679,80,0,Unknown,0,Unknown,0,0,Clear,27.2,0.0,196,0,Unknown,0.0,0,0,0,6.41,8,0,6,0,1,7,2026,2,Normal
HYD018,Tarnaka,Hyderabad,L_BLUE,Blue,Central,Regular,0,2,13,2,4,13,17,2193,986,2521,19,Transit Hub,Metro;Cab;Bus,Tier-1,06-07,Wednesday,0,Inbound,HYD018-P1,1386,1178,72,4.1,11,9,6.7,2200,0.2,776,248,134,998,1347,159,0,Unknown,0,Unknown,0,0,Light Rain,31.2,12.0,146,1,Concert,0.6,14651,0,0,10.58,8,0,6,0,1,7,2026,2,Normal
KOC003,Companypady,Kochi,L_LINE_1,Line 1,Central,Regular,0,2,17,6,4,8,13,1773,797,2038,15,Commercial,Metro;Cab;Bus,Tier-3,06-07,Wednesday,0,Outbound,KOC003-P1,452,466,24,5.03,7,6,10.0,1800,0.2,279,52,44,509,687,81,0,Unknown,0,Unknown,0,0,Light Rain,29.6,11.6,124,0,Unknown,0.0,0,0,0,6.79,8,0,6,0,1,7,2026,2,Normal
PUN009,Shivaji Nagar,Pune,L_LINE_1,Line 1,Central,Regular,0,3,12,7,3,6,21,1697,763,1951,17,Commercial,Metro;Cab;Bus,Tier-3,06-07,Wednesday,0,Inbound,PUN009-P1,695,697,47,4.55,13,8,7.5,1800,0.2,464,107,51,732,988,117,0,Unknown,0,Unknown,0,0,Rain,34.9,7.7,168,0,Unknown,0.0,0,0,0,7.99,8,0,6,0,1,7,2026,2,Normal
JAI004,Shyam Nagar,Jaipur,L_PINK,Pink,Central,Regular,0,2,12,4,3,7,11,1732,779,1991,13,Office,Metro;Bus,Tier-3,06-07,Wednesday,0,Outbound,JAI004-P1,331,335,20,2.64,14,9,6.7,1200,0.2,197,68,21,456,615,72,0,Unknown,0,Unknown,0,0,Light Rain,29.0,3.1,171,0,Unknown,0.0,0,0,0,8.17,8,0,6,0,1,7,2026,2,Normal
BLR009,Hoodi,Bengaluru,L_PURPLE,Purple,Central,Regular,0,2,12,3,5,9,18,1708,768,1964,13,Transit Hub,Metro;Rail;Bus,Tier-3,06-07,Wednesday,0,Inbound,BLR009-P1,817,883,56,4.0,4,11,5.5,1800,0.2,456,93,61,941,1270,150,0,Unknown,0,Unknown,0,0,Clear,29.5,0.0,124,0,Unknown,0.0,0,0,0,7.68,8,0,6,0,1,7,2026,2,Normal
HYD007,Ameerpet,Hyderabad,L_RED_BLUE,Red-Blue,Central,Interchange,1,4,12,6,2,4,20,1849,832,2126,12,Education,Metro;Rail;Bus,Tier-3,06-07,Wednesday,0,Inbound,HYD007-P1,871,715,129,2.33,25,7,8.6,1500,0.2,623,184,54,732,988,117,0,Unknown,0,Unknown,0,0,Clear,26.9,0.0,156,0,Unknown,0.0,0,0,0,10.36,8,0,6,0,1,7,2026,2,Normal
BLR010,KR Puram,Bengaluru,L_PURPLE,Purple,Central,Regular,0,3,11,5,4,9,13,2060,927,2369,9,Residential,Metro;Rail;Bus,Tier-2,06-07,Wednesday,0,Inbound,BLR010-P1,1095,1286,78,5.36,0,11,5.5,1500,0.2,732,148,94,1135,1532,181,0,Unknown,0,Unknown,0,0,Light Rain,25.1,6.6,195,0,Unknown,0.0,0,0,0,8.8,8,0,6,0,1,7,2026,2,Normal
HYD002,JNTU College,Hyderabad,L_RED,Red,Central,Regular,0,3,13,7,4,8,20,1466,659,1685,12,Mixed Use,Metro;Cab;Bus,Tier-3,06-07,Wednesday,0,Inbound,HYD002-P1,590,672,41,4.93,0,12,5.0,1200,0.2,348,95,58,667,900,106,0,Unknown,0,Unknown,0,0,Clear,33.8,0.0,162,0,Unknown,0.0,0,0,0,9.93,8,0,6,0,1,7,2026,2,Normal
HYD001,Miyapur,Hyderabad,L_RED,Red,Central,Terminal,0,2,6,4,5,6,22,1449,652,1666,16,Office,Metro;Bus,Tier-3,06-07,Wednesday,0,Inbound,HYD001-P1,660,615,47,5.54,15,9,6.7,1500,0.2,441,80,36,659,889,105,0,Unknown,0,Unknown,0,0,Clear,32.2,0.0,202,0,Unknown,0.0,0,0,0,8.09,8,0,6,0,1,7,2026,2,Normal
KOC010,Changampuzha Park,Kochi,L_LINE_1,Line 1,Central,Regular,0,4,10,7,3,9,24,1781,801,2048,24,Mixed Use,Metro;Auto;Bus,Tier-3,06-07,Wednesday,0,Inbound,KOC010-P1,451,374,26,4.54,16,7,8.6,1500,0.2,275,63,32,512,691,81,0,Unknown,0,Unknown,0,0,Clear,34.3,0.0,78,0,Unknown,0.0,0,0,0,5.94,8,0,6,0,1,7,2026,2,Normal
HYD012,Assembly,Hyderabad,L_RED,Red,Central,Regular,0,2,15,6,3,11,17,1811,814,2082,19,Transit Hub,Metro;Rail;Bus,Tier-2,06-07,Wednesday,0,Outbound,HYD012-P1,765,584,38,6.16,27,6,10.0,1200,0.2,457,127,58,824,1112,131,0,Unknown,0,Unknown,0,0,Light Rain,29.3,6.6,127,0,Unknown,0.0,0,0,0,6.24,8,0,6,0,1,7,2026,2,Normal
PUN005,Phugewadi,Pune,L_LINE_1,Line 1,Central,Regular,0,4,6,8,5,13,16,1670,751,1920,23,Commercial,Metro;Rail;Bus,Tier-3,06-07,Wednesday,0,Outbound,PUN005-P1,781,641,41,1.87,8,7,8.6,1800,0.2,570,125,36,720,972,115,0,Unknown,0,Unknown,0,0,Rain,25.9,10.7,81,0,Unknown,0.0,0,0,0,6.84,8,0,6,0,1,7,2026,2,Normal
KOC009,Edapally,Kochi,L_LINE_1,Line 1,Central,Regular,0,3,6,5,2,5,15,2029,913,2333,26,Office,Metro;Cab;Bus,Tier-2,06-07,Wednesday,0,Inbound,KOC009-P1,595,541,37,2.89,20,10,6.0,1500,0.2,346,74,21,583,787,93,0,Unknown,0,Unknown,0,0,Clear,28.6,0.0,204,0,Unknown,0.0,0,0,0,4.95,8,0,6,0,1,7,2026,2,Normal
HYD013,Nampally,Hyderabad,L_RED,Red,Central,Regular,0,3,15,4,2,7,18,2209,994,2540,17,Office,Metro;Bus,Tier-1,06-07,Wednesday,0,Outbound,HYD013-P1,896,958,61,5.42,10,8,7.5,1800,0.2,591,188,77,1005,1356,160,0,Unknown,0,Unknown,0,0,Clear,30.0,0.0,137,0,Unknown,0.0,0,0,0,7.04,8,0,6,0,1,7,2026,2,Normal
KOC008,Pathadipalam,Kochi,L_LINE_1,Line 1,Central,Regular,0,3,15,5,3,10,25,1911,859,2197,13,Commercial,Metro;Auto;Bus,Tier-2,06-07,Wednesday,0,Outbound,KOC008-P1,464,577,23,2.42,7,7,8.6,2200,0.2,337,88,33,549,741,87,0,Unknown,0,Unknown,0,0,Cloudy,30.0,0.5,156,0,Unknown,0.0,0,0,0,7.86,8,0,6,0,1,7,2026,2,Normal
HYD014,Gandhi Hospital,Hyderabad,L_RED,Red,Central,Regular,0,2,7,4,2,12,19,1884,847,2166,4,Commercial,Metro;Bus,Tier-2,06-07,Wednesday,0,Inbound,HYD014-P1,968,633,66,6.67,16,6,10.0,2200,0.2,586,206,36,857,1156,137,0,Unknown,0,Unknown,0,0,Light Rain,24.4,5.1,119,0,Unknown,0.0,0,0,0,7.8,8,0,6,0,1,7,2026,2,Normal
KOC007,Cochin University,Kochi,L_LINE_1,Line 1,Central,Regular,0,2,14,7,4,5,14,1624,730,1867,16,Residential,Metro;Bus,Tier-3,06-07,Wednesday,0,Inbound,KOC007-P1,581,526,38,5.58,13,8,7.5,2200,0.2,370,103,47,467,630,74,0,Unknown,0,Unknown,0,0,Cloudy,32.5,1.2,146,0,Unknown,0.0,0,0,0,8.1,8,0,6,0,1,7,2026,2,Normal
HYD015,Secunderabad East,Hyderabad,L_RED,Red,Central,Regular,0,3,15,6,4,5,12,2157,970,2480,27,Transit Hub,Metro;Auto;Bus,Tier-1,06-07,Wednesday,0,Inbound,HYD015-P1,1154,989,70,2.61,23,11,5.5,2200,0.2,833,205,74,982,1325,157,0,Unknown,0,Unknown,0,0,Cloudy,31.9,1.3,70,0,Unknown,0.0,0,0,0,9.05,8,0,6,0,1,7,2026,2,Normal
KOC020,Vyttila,Kochi,L_LINE_1,Line 1,Central,Terminal,0,4,6,5,5,11,12,2542,1143,2923,19,Transit Hub,Metro;Bus,Tier-1,06-07,Wednesday,0,Inbound,KOC020-P1,709,774,46,2.71,23,6,10.0,1800,0.2,399,71,23,731,986,116,0,Unknown,0,Unknown,0,0,Rain,30.0,10.9,97,0,Unknown,0.0,0,0,0,9.49,8,0,6,0,1,7,2026,2,Normal
DEL016,Noida Sector 18,Delhi,L_BLUE,Blue,Central,Regular,0,4,8,2,3,12,14,2265,1019,2604,25,Commercial,Metro;Rail;Bus,Tier-1,06-07,Wednesday,0,Inbound,DEL016-P1,1395,1490,95,4.18,16,7,8.6,1800,0.2,991,205,107,1465,1977,234,0,Unknown,0,Unknown,0,0,Clear,25.9,0.0,124,0,Unknown,0.0,0,0,0,6.53,8,0,6,0,1,7,2026,2,Normal
HYD016,Parade Grounds,Hyderabad,L_RED_BLUE,Red-Blue,Central,Interchange,1,3,12,4,2,11,24,2613,1175,3004,4,Transit Hub,Metro;Rail;Bus,Tier-1,06-07,Wednesday,0,Outbound,HYD016-P1,770,736,164,6.66,23,8,7.5,1800,0.2,560,129,25,1034,1395,165,0,Unknown,0,Unknown,0,0,Cloudy,35.4,1.2,184,0,Unknown,0.0,0,0,0,9.87,8,0,6,0,1,7,2026,2,Normal
PUN006,Dapodi,Pune,L_LINE_1,Line 1,Central,Regular,0,3,17,7,5,8,10,1569,706,1804,17,Office,Metro;Rail;Bus,Tier-3,06-07,Wednesday,0,Outbound,PUN006-P1,725,623,39,4.85,25,8,7.5,1200,0.2,483,115,60,676,912,108,0,Unknown,0,Unknown,0,0,Light Rain,30.4,5.6,167,0,Unknown,0.0,0,0,0,10.33,8,0,6,0,1,7,2026,2,Normal
KOC005,Muttom,Kochi,L_LINE_1,Line 1,Central,Regular,0,4,11,3,2,14,23,1603,721,1843,25,Transit Hub,Metro;Cab;Bus,Tier-3,06-07,Wednesday,0,Outbound,KOC005-P1,329,326,20,4.01,14,9,6.7,1500,0.2,215,62,10,461,622,73,0,Unknown,0,Unknown,0,0,Cloudy,27.1,0.6,131,0,Unknown,0.0,0,0,0,7.75,8,0,6,0,1,7,2026,2,Normal
HYD009,Irrum Manzil,Hyderabad,L_RED,Red,Central,Regular,0,2,14,3,2,8,15,1847,831,2124,3,Residential,Metro;Bus,Tier-2,06-07,Wednesday,0,Inbound,HYD009-P1,948,857,58,4.46,11,9,6.7,1800,0.2,525,154,79,840,1134,134,0,Unknown,0,Unknown,0,0,Clear,27.0,0.0,119,0,Unknown,0.0,0,0,0,7.55,8,0,6,0,1,7,2026,2,Normal
HYD017,Mettuguda,Hyderabad,L_BLUE,Blue,Central,Regular,0,3,14,3,3,5,21,2189,985,2517,25,Office,Metro;Bus,Tier-1,06-07,Wednesday,0,Outbound,HYD017-P1,872,739,57,3.86,22,7,8.6,1800,0.2,623,104,71,996,1344,159,0,Unknown,0,Unknown,0,0,Clear,25.9,0.0,165,0,Unknown,0.0,0,0,0,8.11,8,0,6,0,1,7,2026,2,Normal
KOC013,Kaloor,Kochi,L_LINE_1,Line 1,Central,Regular,0,2,11,6,5,6,22,2034,915,2339,6,Education,Metro;Bus,Tier-2,06-07,Wednesday,0,Outbound,KOC013-P1,477,628,24,3.82,20,7,8.6,1500,0.2,284,82,25,584,788,93,0,Unknown,0,Unknown,0,0,Clear,26.8,0.0,103,0,Unknown,0.0,0,0,0,7.21,8,0,6,0,1,7,2026,2,Normal
HYD008,Punjagutta,Hyderabad,L_RED,Red,Central,Regular,0,2,6,2,3,4,23,1936,871,2226,21,Office,Metro;Auto;Bus,Tier-2,06-07,Wednesday,0,Outbound,HYD008-P1,797,847,39,1.69,5,7,8.6,1500,0.2,594,152,60,881,1189,140,0,Unknown,0,Unknown,0,0,Clear,29.6,0.0,55,0,Unknown,0.0,0,0,0,9.3,8,0,6,0,1,7,2026,2,Normal
PUN002,Sant Tukaram Nagar,Pune,L_LINE_1,Line 1,Central,Regular,0,2,11,4,2,4,20,1579,710,1815,14,Residential,Metro;Bus,Tier-3,06-07,Wednesday,0,Outbound,PUN002-P1,679,591,40,5.75,17,7,8.6,2200,0.2,426,81,57,681,919,108,0,Unknown,0,Unknown,0,0,Light Rain,34.1,10.3,175,0,Unknown,0.0,0,0,0,7.21,8,0,6,0,1,7,2026,2,Normal
PUN001,PCMC,Pune,L_LINE_1,Line 1,Central,Terminal,0,4,7,6,3,4,12,1533,689,1762,22,Commercial,Metro;Cab;Bus,Tier-3,06-07,Wednesday,0,Outbound,PUN001-P1,690,689,41,5.92,29,9,6.7,1200,0.2,450,96,56,661,892,105,0,Unknown,0,Unknown,0,0,Rain,31.2,9.5,89,0,Unknown,0.0,0,0,0,7.33,8,0,6,0,1,7,2026,2,Normal
KOC006,Kalamassery,Kochi,L_LINE_1,Line 1,Central,Regular,0,4,17,6,5,4,12,1762,792,2026,16,Residential,Metro;Rail;Bus,Tier-3,06-07,Wednesday,0,Outbound,KOC006-P1,449,497,29,6.74,7,7,8.6,1500,0.2,286,84,37,506,683,80,0,Unknown,0,Unknown,0,0,Light Rain,29.7,5.8,115,0,Unknown,0.0,0,0,0,7.67,8,0,6,0,1,7,2026,2,Normal
DEL017,Noida Sector 15,Delhi,L_BLUE,Blue,Central,Regular,0,3,12,2,5,13,16,2364,1063,2718,10,Residential,Metro;Bus,Tier-1,06-07,Wednesday,0,Inbound,DEL017-P1,1929,1327,106,6.49,16,11,5.5,1500,0.2,1196,322,132,1529,2064,244,0,Unknown,0,Unknown,0,0,Cloudy,23.6,0.0,173,0,Unknown,0.0,0,0,0,8.53,8,0,6,0,1,7,2026,2,Normal
JAI002,New Atish Market,Jaipur,L_PINK,Pink,Central,Regular,0,2,14,5,3,4,22,1575,708,1811,20,Transit Hub,Metro;Auto;Bus,Tier-3,06-07,Wednesday,0,Inbound,JAI002-P1,358,397,22,1.81,20,7,8.6,1800,0.2,236,75,20,415,560,66,0,Unknown,0,Unknown,0,0,Rain,24.8,4.0,135,0,Unknown,0.0,0,0,0,7.19,8,0,6,0,1,7,2026,2,Normal
JAI001,Mansarovar,Jaipur,L_PINK,Pink,Central,Terminal,0,4,9,5,5,13,21,1499,674,1723,12,Commercial,Metro;Rail;Bus,Tier-3,06-07,Wednesday,0,Outbound,JAI001-P1,435,338,27,6.82,0,9,6.7,2200,0.2,270,80,41,395,533,63,0,Unknown,0,Unknown,0,0,Clear,30.8,0.0,117,0,Unknown,0.0,0,0,0,7.38,8,0,6,0,1,7,2026,2,Normal
CHE020,Vadapalani,Chennai,L_GREEN,Green,Central,Terminal,0,3,15,3,3,5,18,2208,993,2539,20,Office,Metro;Rail;Bus,Tier-1,06-07,Wednesday,0,Inbound,CHE020-P1,1429,1371,69,4.02,22,12,5.0,1500,0.2,975,240,112,1058,1428,169,0,Unknown,0,Unknown,0,0,Clear,25.8,0.0,165,1,Conference,4.4,21925,0,0,9.96,8,0,6,0,1,7,2026,2,Normal
JAI010,Chhoti Chaupar,Jaipur,L_PINK,Pink,Central,Regular,0,2,9,6,5,8,11,1747,786,2009,6,Education,Metro;Bus,Tier-3,06-07,Wednesday,0,Outbound,JAI010-P1,320,414,19,6.74,2,7,8.6,1200,0.2,180,34,15,460,621,73,0,Unknown,0,Unknown,0,0,Light Rain,26.8,10.0,192,0,Unknown,0.0,0,0,0,7.76,8,0,6,0,1,7,2026,2,Normal
DEL014,Janakpuri West,Delhi,L_BLUE_MAGENTA,Blue-Magenta,Central,Interchange,1,4,16,4,3,5,10,2249,1012,2586,20,Office,Metro;Cab;Bus,Tier-2,06-07,Wednesday,0,Outbound,DEL014-P1,1279,1020,198,5.76,15,11,5.5,1500,0.2,925,166,88,1265,1707,202,0,Unknown,0,Unknown,0,0,Rain,23.7,1.1,193,0,Unknown,0.0,0,0,0,7.58,8,0,6,0,1,7,2026,2,Normal
JAI009,Chandpole,Jaipur,L_PINK,Pink,Central,Regular,0,2,17,5,4,8,10,1839,827,2114,12,Residential,Metro;Rail;Bus,Tier-2,06-07,Wednesday,0,Inbound,JAI009-P1,535,361,25,2.74,13,7,8.6,1500,0.2,324,109,19,484,653,77,0,Unknown,0,Unknown,0,0,Rain,29.6,2.6,160,0,Unknown,0.0,0,0,0,6.42,8,0,6,0,1,7,2026,2,Normal
BLR004,Pattandur Agrahara,Bengaluru,L_PURPLE,Purple,Central,Regular,0,4,11,6,3,13,15,1659,746,1907,14,Mixed Use,Metro;Bus,Tier-3,06-07,Wednesday,0,Inbound,BLR004-P1,921,834,49,2.52,11,11,5.5,2200,0.2,532,141,82,914,1233,146,0,Unknown,0,Unknown,0,0,Rain,26.3,5.5,174,0,Unknown,0.0,0,0,0,8.03,8,0,6,0,1,7,2026,2,Normal
PUN008,Khadki,Pune,L_LINE_1,Line 1,Central,Regular,0,2,15,3,4,5,21,1775,798,2041,13,Commercial,Metro;Auto;Bus,Tier-3,06-07,Wednesday,0,Inbound,PUN008-P1,745,728,47,6.34,20,7,8.6,1800,0.2,487,117,55,765,1032,122,0,Unknown,0,Unknown,0,0,Rain,31.5,14.2,126,0,Unknown,0.0,0,0,0,10.02,8,0,6,0,1,7,2026,2,Normal
JAI008,Sindhi Camp,Jaipur,L_PINK,Pink,Central,Regular,0,2,12,8,3,12,14,1877,844,2158,15,Education,Metro;Cab;Bus,Tier-2,06-07,Wednesday,0,Inbound,JAI008-P1,500,418,30,1.63,7,7,8.6,1800,0.2,280,81,26,494,666,79,0,Unknown,0,Unknown,0,0,Cloudy,25.1,0.7,190,0,Unknown,0.0,0,0,0,7.67,8,0,6,0,1,7,2026,2,Normal
BLR005,Sri Sathya Sai Hospital,Bengaluru,L_PURPLE,Purple,Central,Regular,0,4,15,4,5,9,22,1570,706,1805,25,Office,Metro;Rail;Bus,Tier-3,06-07,Wednesday,0,Inbound,BLR005-P1,739,776,37,3.55,7,11,5.5,1500,0.2,532,155,68,865,1167,138,0,Unknown,0,Unknown,0,0,Cloudy,27.1,1.2,61,0,Unknown,0.0,0,0,0,4.69,8,0,6,0,1,7,2026,2,Normal
JAI007,Railway Station,Jaipur,L_PINK,Pink,Central,Regular,0,3,8,8,5,11,21,1663,748,1912,13,Transit Hub,Metro;Bus,Tier-3,06-07,Wednesday,0,Inbound,JAI007-P1,454,381,32,5.68,15,10,6.0,1200,0.2,314,66,19,438,591,70,0,Unknown,0,Unknown,0,0,Clear,25.7,0.0,99,0,Unknown,0.0,0,0,0,8.16,8,0,6,0,1,7,2026,2,Normal
BLR002,Hopefarm Channasandra,Bengaluru,L_PURPLE,Purple,Central,Regular,0,4,17,2,4,8,9,1554,699,1787,16,Office,Metro;Rail;Bus,Tier-3,06-07,Wednesday,0,Outbound,BLR002-P1,807,797,41,2.4,14,6,10.0,1800,0.2,461,152,61,856,1155,136,0,Unknown,0,Unknown,0,0,Light Rain,25.0,4.8,83,0,Unknown,0.0,0,0,0,7.53,8,0,6,0,1,7,2026,2,Normal
