station_id,station_name,city,metro_line_id,line_name,zone_sector,station_type,interchange_flag,num_platforms,num_entry_exit_gates,num_escalators,num_lifts,num_ticket_counters,num_afc_gates,platform_capacity,concourse_area_sqm,max_safe_occupancy,nearby_poi_count,poi_category,connecting_transport_modes,station_tier,date,timestamp,time_slot,day_of_week,is_weekend,direction,platform_id,entry_count,exit_count,net_flow,transfer_count,avg_dwell_time,queue_length_at_gate,train_arrivals_in_slot,train_headway_minutes,train_capacity,train_load_factor,afc_smart_card_taps,qr_ticket_taps,token_sales_count,historical_avg_footfall,historical_peak_footfall,historical_std_dev,is_holiday,holiday_type,is_festival,festival_name,school_college_session_flag,office_hours_flag,weather_condition,temperature,rainfall_mm,aqi_index,special_event_flag,event_type,event_distance_km,expected_event_attendance,strike_or_disruption_flag,service_alert_active,current_train_frequency,scheduled_train_frequency,platform_congestion_flag,next_30min_occupancy_pct,hour,minute,day,month,year,day_of_week_number,peak_period
LKO002,Amausi,Lucknow,L_RED,Red,Central,Regular,0,3,14,4,3,7,15,1462,657,1681,5,Office,Metro;Auto;Bus,Tier-3,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Inbound,LKO002-P1,584,466,118,40,3.8,23,7,8.6,1500,0.2,376,60,54,455,614,72,0,,0,,0,0,Rain,33.5,5.0,188,0,,0.0,0,0,0,5.74,8,0,35.1,6,0,1,7,2026,2,Normal
MUM011,Dahisar East,Mumbai,L_LINE_2A_7,Line 2A-7,Central,Interchange,1,2,11,7,3,10,18,2029,913,2333,9,Mixed Use,Metro;Bus,Tier-3,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Outbound,MUM011-P1,995,924,71,199,3.59,10,11,5.5,1500,0.2,677,187,86,1099,1483,175,0,,0,,0,0,Light Rain,27.3,4.7,178,0,,0.0,0,0,0,8.79,8,0,15.84,6,0,1,7,2026,2,Normal
LKO001,CCS Airport,Lucknow,L_RED,Red,Central,Terminal,0,3,13,7,5,6,24,1498,674,1722,11,Office,Metro;Cab;Bus,Tier-3,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Outbound,LKO001-P1,404,428,-24,19,5.87,28,6,10.0,1200,0.2,225,70,14,466,629,74,0,,0,,0,0,Rain,28.3,4.7,114,0,,0.0,0,0,0,5.4,8,0,21.61,6,0,1,7,2026,2,Normal
MUM012,Anand Nagar,Mumbai,L_LINE_2A,Line 2A,Central,Regular,0,2,11,8,5,10,12,2080,936,2392,13,Mixed Use,Metro;Bus,Tier-1,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Inbound,MUM012-P1,1323,1045,278,69,2.23,0,8,7.5,1800,0.2,827,156,113,1296,1749,207,0,,0,,0,0,Light Rain,26.5,5.2,157,0,,0.0,0,0,0,9.31,8,0,40.11,6,0,1,7,2026,2,Normal
DEL007,Central Secretariat,Delhi,L_YELLOW_VIOLET,Yellow-Violet,Central,Interchange,1,2,15,4,5,10,10,1953,878,2245,17,Residential,Metro;Bus,Tier-3,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Inbound,DEL007-P1,1238,841,397,254,3.12,7,7,8.6,1800,0.2,813,220,99,1098,1482,175,0,,0,,0,0,Cloudy,32.4,1.2,130,0,,0.0,0,0,0,9.22,8,0,46.25,6,0,1,7,2026,2,Normal
PUN015,Anand Nagar,Pune,L_LINE_2,Line 2,Central,Regular,0,3,9,5,3,6,9,1947,876,2239,21,Transit Hub,Metro;Cab;Bus,Tier-2,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Inbound,PUN015-P1,659,658,1,42,2.06,27,6,10.0,1200,0.2,398,144,43,839,1132,134,0,,0,,0,0,Rain,33.7,11.4,116,0,,0.0,0,0,0,6.65,8,0,17.93,6,0,1,7,2026,2,Normal
KOL020,Phoolbagan,Kolkata,L_GREEN,Green,Central,Terminal,0,4,10,5,3,7,24,2399,1079,2758,7,Commercial,Metro;Bus,Tier-1,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Inbound,KOL020-P1,1330,988,342,84,1.78,16,11,5.5,1800,0.2,885,226,72,1207,1629,193,0,,0,,0,0,Clear,34.4,0.0,162,0,,0.0,0,0,0,7.07,8,0,59.61,6,0,1,7,2026,2,Normal
MUM013,Borivali West,Mumbai,L_LINE_2A,Line 2A,Central,Regular,0,2,6,7,3,6,22,2039,917,2344,18,Mixed Use,Metro;Cab;Bus,Tier-2,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Inbound,MUM013-P1,1295,1293,2,91,1.59,22,6,10.0,2200,0.2,807,156,55,1270,1714,203,0,,0,,0,0,Rain,27.6,8.9,136,0,,0.0,0,0,0,7.11,8,0,23.16,6,0,1,7,2026,2,Normal
KOL019,Sealdah,Kolkata,L_GREEN,Green,Central,Regular,0,3,16,4,2,11,24,2492,1121,2865,3,Transit Hub,Metro;Rail;Bus,Tier-1,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Inbound,KOL019-P1,1351,1010,341,87,6.06,6,8,7.5,1200,0.2,971,186,132,1253,1691,200,0,,0,,0,0,Rain,31.3,3.1,187,0,,0.0,0,0,0,7.29,8,0,52.36,6,0,1,7,2026,2,Normal
MUM014,Kandivali West,Mumbai,L_LINE_2A,Line 2A,Central,Regular,0,4,13,3,4,7,18,2115,951,2432,12,Commercial,Metro;Rail;Bus,Tier-1,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Outbound,MUM014-P1,1350,1210,140,80,2.97,19,6,10.0,1500,0.2,962,159,115,1317,1777,210,0,,0,,0,0,Rain,33.4,12.8,142,0,,0.0,0,0,0,8.69,8,0,36.01,6,0,1,7,2026,2,Normal
LKO006,Alambagh,Lucknow,L_RED,Red,Central,Regular,0,2,9,6,3,7,25,1669,751,1919,10,Transit Hub,Metro;Auto;Bus,Tier-3,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Outbound,LKO006-P1,485,474,11,25,1.65,14,9,6.7,1800,0.2,283,51,37,519,700,83,0,,0,,0,0,Clear,27.5,0.0,159,0,,0.0,0,0,0,9.33,8,0,20.19,6,0,1,7,2026,2,Normal
KOL018,Mahakaran,Kolkata,L_GREEN,Green,Central,Regular,0,2,14,4,5,5,11,2168,975,2493,20,Office,Metro;Bus,Tier-1,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Outbound,KOL018-P1,1076,1013,63,54,6.16,34,12,5.0,1800,0.2,597,157,60,1091,1472,174,0,,0,,0,0,Cloudy,30.2,0.0,116,0,,0.0,0,0,0,7.48,8,0,30.24,6,0,1,7,2026,2,Normal
MUM006,Chakala,Mumbai,L_LINE_1,Line 1,Central,Regular,0,4,11,2,4,5,12,1704,766,1959,10,Transit Hub,Metro;Bus,Tier-3,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Outbound,MUM006-P1,898,1041,-143,61,4.49,12,6,10.0,1500,0.2,647,126,68,1061,1432,169,0,,0,,0,0,Light Rain,30.0,4.8,162,0,,0.0,0,0,0,10.1,8,0,12.47,6,0,1,7,2026,2,Normal
MUM005,Western Express Highway,Mumbai,L_LINE_1,Line 1,Central,Regular,0,3,6,6,5,9,11,1587,714,1825,17,Office,Metro;Rail;Bus,Tier-3,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Inbound,MUM005-P1,764,1011,-247,47,6.71,0,7,8.6,1800,0.2,549,78,67,989,1335,158,0,,0,,0,0,Clear,28.1,0.0,148,0,,0.0,0,0,0,8.38,8,0,0.0,6,0,1,7,2026,2,Normal
LKO015,Vishwavidyalaya,Lucknow,L_RED,Red,Central,Regular,0,3,14,3,2,5,25,2279,1025,2620,15,Transit Hub,Metro;Auto;Bus,Tier-1,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Inbound,LKO015-P1,590,644,-54,34,2.3,23,10,6.0,1200,0.2,428,86,55,710,958,113,0,,0,,0,0,Cloudy,24.9,0.9,107,0,,0.0,0,0,0,7.93,8,0,19.5,6,0,1,7,2026,2,Normal
BLR018,Jalahalli,Bengaluru,L_GREEN,Green,Central,Regular,0,2,11,2,4,10,11,2172,977,2497,16,Office,Metro;Rail;Bus,Tier-1,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Inbound,BLR018-P1,953,1149,-196,64,4.78,8,9,6.7,1200,0.2,711,202,54,1197,1615,191,0,,0,,0,0,Rain,26.6,4.0,135,0,,0.0,0,0,0,7.75,8,0,9.55,6,0,1,7,2026,2,Normal
LKO014,KD Singh Babu Stadium,Lucknow,L_RED,Red,Central,Regular,0,4,7,8,4,12,20,2235,1005,2570,18,Mixed Use,Metro;Cab;Bus,Tier-1,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Outbound,LKO014-P1,426,439,-13,20,5.63,2,7,8.6,1200,0.2,279,87,23,696,939,111,0,,0,,0,0,Cloudy,23.2,1.6,174,0,,0.0,0,1,1,12.8,8,0,27.03,6,0,1,7,2026,2,Normal
BLR019,RV Road,Bengaluru,L_GREEN_YELLOW,Green-Yellow,Central,Interchange,1,2,12,4,3,7,16,2427,1092,2791,15,Office,Metro;Auto;Bus,Tier-1,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Inbound,BLR019-P1,875,978,-103,173,2.61,22,7,8.6,2200,0.2,616,116,29,1163,1570,186,0,,0,,0,0,Light Rain,34.6,1.4,186,0,,0.0,0,0,0,7.39,8,0,19.37,6,0,1,7,2026,2,Normal
LKO013,Hazratganj,Lucknow,L_RED,Red,Central,Regular,0,4,7,5,3,10,13,1911,859,2197,7,Office,Metro;Auto;Bus,Tier-2,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Outbound,LKO013-P1,610,665,-55,39,5.27,0,8,7.5,1200,0.2,435,84,32,595,803,95,0,,0,,0,0,Cloudy,29.7,0.4,92,0,,0.0,0,0,0,7.1,8,0,27.62,6,0,1,7,2026,2,Normal
BLR020,Electronic City,Bengaluru,L_YELLOW,Yellow,Central,Terminal,0,4,14,4,5,7,20,2110,949,2426,14,Office,Metro;Bus,Tier-1,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Inbound,BLR020-P1,1202,1155,47,85,5.52,19,9,6.7,1500,0.2,710,231,74,1163,1570,186,0,,0,,0,0,Rain,23.1,7.2,66,0,,0.0,0,0,0,5.39,8,0,26.33,6,0,1,7,2026,2,Normal
DEL010,Karol Bagh,Delhi,L_BLUE,Blue,Central,Regular,0,4,14,3,3,12,9,1950,877,2242,21,Residential,Metro;Cab;Bus,Tier-2,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Outbound,DEL010-P1,1343,1174,169,73,3.74,26,8,7.5,1500,0.2,792,207,74,1261,1702,201,0,,0,,0,0,Cloudy,26.9,1.0,117,0,,0.0,0,0,0,12.32,8,0,46.18,6,0,1,7,2026,2,Normal
PUN012,Mahatma Phule Mandai,Pune,L_LINE_1,Line 1,Central,Regular,0,3,17,7,4,13,19,1818,818,2090,22,Mixed Use,Metro;Cab;Bus,Tier-2,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Inbound,PUN012-P1,682,791,-109,35,3.69,20,9,6.7,1500,0.2,471,119,68,784,1058,125,0,,0,,0,0,Cloudy,33.3,1.1,203,0,,0.0,0,0,0,7.74,8,0,10.52,6,0,1,7,2026,2,Normal
LKO012,Sachivalaya,Lucknow,L_RED,Red,Central,Regular,0,2,8,5,3,6,10,2070,931,2380,24,Commercial,Metro;Bus,Tier-1,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Outbound,LKO012-P1,721,675,46,51,3.19,21,8,7.5,1500,0.2,434,132,28,644,869,103,0,,0,,0,0,Clear,25.2,0.0,140,0,,0.0,0,0,0,5.53,8,0,27.81,6,0,1,7,2026,2,Normal
MUM001,Versova,Mumbai,L_LINE_1,Line 1,Central,Terminal,0,2,16,7,2,13,18,1540,693,1770,13,Commercial,Metro;Cab;Bus,Tier-3,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Outbound,MUM001-P1,1089,851,238,77,2.59,0,6,10.0,1800,0.2,711,146,41,959,1294,153,0,,0,,0,0,Rain,34.2,14.1,178,0,,0.0,0,0,0,4.99,8,0,57.74,6,0,1,7,2026,2,Normal
LKO011,Hussainganj,Lucknow,L_RED,Red,Central,Regular,0,2,6,6,4,12,25,2087,939,2400,26,Mixed Use,Metro;Rail;Bus,Tier-1,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Outbound,LKO011-P1,512,469,43,26,4.12,0,8,7.5,1800,0.2,294,70,42,650,877,104,0,,0,,0,0,Clear,35.5,0.0,202,0,,0.0,0,1,1,8.01,8,0,31.07,6,0,1,7,2026,2,Normal
MUM002,D. N. Nagar,Mumbai,L_LINE_1_2A,Line 1-2A,Central,Interchange,1,3,10,6,3,11,14,1822,819,2095,18,Mixed Use,Metro;Bus,Tier-3,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Outbound,MUM002-P1,977,895,82,189,3.57,26,9,6.7,1500,0.2,566,144,51,986,1331,157,0,,0,,0,0,Clear,34.5,0.0,120,0,,0.0,0,0,0,9.69,8,0,33.4,6,0,1,7,2026,2,Normal
LKO010,Charbagh,Lucknow,L_RED,Red,Central,Regular,0,4,10,2,5,4,13,1780,801,2046,27,Transit Hub,Metro;Cab;Bus,Tier-3,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Inbound,LKO010-P1,642,464,178,32,4.53,14,9,6.7,1200,0.2,362,86,21,554,747,88,0,,0,,0,0,Clear,34.4,0.0,150,0,,0.0,0,0,0,6.15,8,0,40.14,6,0,1,7,2026,2,Normal
MUM003,Azad Nagar,Mumbai,L_LINE_1,Line 1,Central,Regular,0,2,11,5,2,14,15,1484,667,1706,7,Transit Hub,Metro;Rail;Bus,Tier-3,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Inbound,MUM003-P1,950,804,146,48,6.61,3,6,10.0,1500,0.2,620,111,33,924,1247,147,0,,0,,0,0,Cloudy,30.7,0.5,56,0,,0.0,0,0,0,5.83,8,0,50.16,6,0,1,7,2026,2,Normal
LKO009,Durgapuri,Lucknow,L_RED,Red,Central,Regular,0,2,12,6,5,13,8,1890,850,2173,26,Transit Hub,Metro;Bus,Tier-2,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Inbound,LKO009-P1,597,257,340,34,5.96,22,7,8.6,1800,0.2,335,129,24,588,793,94,0,,0,,0,0,Light Rain,35.5,3.4,179,0,,0.0,0,0,0,9.02,8,0,56.03,6,0,1,7,2026,2,Normal
MUM004,Andheri,Mumbai,L_LINE_1,Line 1,Central,Regular,0,2,7,7,4,6,10,1797,808,2066,5,Residential,Metro;Rail;Bus,Tier-3,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Inbound,MUM004-P1,1029,960,69,53,3.94,0,10,6.0,1500,0.2,742,156,101,1119,1510,179,0,,0,,0,0,Clear,24.4,0.0,205,0,,0.0,0,0,0,8.02,8,0,34.18,6,0,1,7,2026,2,Normal
DEL009,Dwarka Sector 21,Delhi,L_BLUE_AIRPORT_EXPRESS,Blue-Airport Express,Central,Interchange,1,4,10,2,2,13,15,2279,1025,2620,23,Commercial,Metro;Auto;Bus,Tier-2,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Outbound,DEL009-P1,1411,1119,292,267,4.12,5,11,5.5,2200,0.2,900,186,67,1282,1730,205,0,,0,,0,0,Cloudy,33.7,0.9,78,0,,0.0,0,0,0,10.71,8,0,39.26,6,0,1,7,2026,2,Normal
PUN013,Swargate,Pune,L_LINE_1,Line 1,Central,Regular,0,4,9,6,4,10,19,1870,841,2150,27,Transit Hub,Metro;Rail;Bus,Tier-2,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Outbound,PUN013-P1,877,696,181,48,5.2,13,10,6.0,1500,0.2,490,143,59,806,1088,128,0,,0,,0,0,Rain,34.8,14.6,100,0,,0.0,0,0,0,7.62,8,0,48.86,6,0,1,7,2026,2,Normal
LKO008,Mawaiya,Lucknow,L_RED,Red,Central,Regular,0,2,13,7,5,5,11,2007,903,2308,16,Commercial,Metro;Auto;Bus,Tier-2,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Outbound,LKO008-P1,710,515,195,41,6.16,20,7,8.6,1200,0.2,485,97,65,625,843,100,0,,0,,0,0,Clear,31.6,0.0,129,0,,0.0,0,0,0,9.21,8,0,47.2,6,0,1,7,2026,2,Normal
LKO007,Alambagh Bus Stand,Lucknow,L_RED,Red,Central,Regular,0,4,15,3,3,8,24,1706,767,1961,25,Education,Metro;Auto;Bus,Tier-3,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Outbound,LKO007-P1,638,411,227,44,6.87,18,8,7.5,1800,0.2,420,88,53,531,716,84,0,,0,,0,0,Clear,28.3,0.0,135,0,,0.0,0,0,0,6.04,8,0,65.14,6,0,1,7,2026,2,Normal
BLR017,Yeshwanthpur,Bengaluru,L_GREEN,Green,Central,Regular,0,4,12,4,5,11,8,2121,954,2439,16,Commercial,Metro;Bus,Tier-1,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Outbound,BLR017-P1,1213,1110,103,79,4.72,12,7,8.6,1200,0.2,842,233,90,1168,1576,186,0,,0,,0,0,Cloudy,30.1,2.0,195,0,,0.0,0,0,0,9.81,8,0,40.64,6,0,1,7,2026,2,Normal
MUM015,Malad West,Mumbai,L_LINE_2A,Line 2A,Central,Regular,0,3,13,3,5,14,19,2110,949,2426,14,Office,Metro;Bus,Tier-1,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Outbound,MUM015-P1,1481,1138,343,94,3.42,11,9,6.7,1800,0.2,1084,186,61,1314,1773,210,0,,0,,0,0,Rain,27.0,11.6,97,0,,0.0,0,0,0,10.17,8,0,45.89,6,0,1,7,2026,2,Normal
MUM016,Goregaon West,Mumbai,L_LINE_2A,Line 2A,Central,Regular,0,2,15,2,2,11,9,1962,882,2256,14,Education,Metro;Cab;Bus,Tier-2,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Inbound,MUM016-P1,919,866,53,64,3.99,17,9,6.7,2200,0.2,543,130,91,1222,1649,195,0,,0,,0,0,Clear,24.1,0.0,105,0,,0.0,0,1,1,8.83,8,0,36.86,6,0,1,7,2026,2,Normal
CHE005,Tondiarpet,Chennai,L_BLUE,Blue,Central,Regular,0,2,8,8,3,4,22,1806,812,2076,20,Residential,Metro;Auto;Bus,Tier-2,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Outbound,CHE005-P1,793,528,265,42,5.75,19,6,10.0,1200,0.2,486,96,36,865,1167,138,0,,0,,0,0,Clear,27.6,0.0,158,0,,0.0,0,0,0,9.41,8,0,44.2,6,0,1,7,2026,2,Normal
KOL007,Girish Park,Kolkata,L_BLUE,Blue,Central,Regular,0,3,12,8,3,11,24,1666,749,1915,25,Education,Metro;Bus,Tier-3,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Inbound,KOL007-P1,773,783,-10,52,3.93,10,8,7.5,1800,0.2,496,163,67,838,1131,134,0,,0,,0,0,Clear,35.1,0.0,133,0,,0.0,0,0,0,6.35,8,0,3.48,6,0,1,7,2026,2,Normal
CHE006,Alandur,Chennai,L_BLUE_GREEN,Blue-Green,Central,Interchange,1,2,8,7,2,5,24,1877,844,2158,16,Commercial,Metro;Bus,Tier-3,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Inbound,CHE006-P1,763,675,88,118,2.93,27,9,6.7,1800,0.2,421,150,43,782,1055,125,0,,0,,0,0,Clear,23.2,0.0,90,0,,0.0,0,0,0,6.6,8,0,46.24,6,0,1,7,2026,2,Normal
KOL006,Shyambazar,Kolkata,L_BLUE,Blue,Central,Regular,0,3,9,5,4,7,19,1736,781,1996,19,Office,Metro;Rail;Bus,Tier-3,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Inbound,KOL006-P1,735,783,-48,40,1.67,18,8,7.5,1500,0.2,536,108,38,873,1178,139,0,,0,,0,0,Cloudy,31.7,1.1,61,0,,0.0,0,0,0,7.33,8,0,27.3,6,0,1,7,2026,2,Normal
CHE007,Guindy,Chennai,L_BLUE,Blue,Central,Regular,0,4,8,2,5,11,10,1838,827,2113,10,Education,Metro;Rail;Bus,Tier-2,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Inbound,CHE007-P1,1002,881,121,63,1.55,11,7,8.6,1500,0.2,642,205,96,880,1188,140,0,,0,,0,0,Cloudy,28.6,0.7,132,0,,0.0,0,0,0,7.07,8,0,21.22,6,0,1,7,2026,2,Normal
KOL005,Belgachia,Kolkata,L_BLUE,Blue,Central,Regular,0,3,11,3,3,4,10,1859,836,2137,9,Commercial,Metro;Auto;Bus,Tier-2,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Outbound,KOL005-P1,933,718,215,55,1.84,0,8,7.5,1800,0.2,607,142,80,935,1262,149,0,,0,,0,0,Clear,27.3,0.0,132,0,,0.0,0,0,0,8.35,8,0,51.72,6,0,1,7,2026,2,Normal
CHE008,Little Mount,Chennai,L_BLUE,Blue,Central,Regular,0,2,12,7,3,14,24,2004,901,2304,7,Mixed Use,Metro;Bus,Tier-2,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Inbound,CHE008-P1,1285,776,509,84,6.73,20,10,6.0,1500,0.2,754,231,121,960,1296,153,0,,0,,0,0,Rain,23.7,14.5,192,0,,0.0,0,0,0,4.49,8,0,61.68,6,0,1,7,2026,2,Normal
DEL003,Hauz Khas,Delhi,L_YELLOW_MAGENTA,Yellow-Magenta,Central,Interchange,1,4,11,4,2,4,24,1717,772,1974,18,Transit Hub,Metro;Cab;Bus,Tier-3,2026-07-01,2026-07-01 06:00:00,06-07,Wednesday,0,Inbound,DEL003-P1,995,863,132,149,5.63,22,9,6.7,2200,0.2,632,175,69,966,1304,154,0,,0,,0,0,Light Rain,31.7,7.2,147,0,,0.0,0,0,0,6.83,8,0,37.66,6,0,1,7,2026,2,Normal
