station_id,station_name,city,metro_line_id,line_name,timestamp,date,time_slot,day_of_week,is_weekend,entry_count,exit_count,net_flow,transfer_count,current_occupancy,occupancy_percentage,crowd_density_level,avg_dwell_time,queue_length_at_gate,avg_wait_time_platform,train_arrivals_in_slot,train_headway_minutes,train_capacity,train_load_factor,current_train_frequency,scheduled_train_frequency,platform_congestion_flag,service_alert_active,special_event_flag,event_type,weather_condition,temperature,rainfall_mm,aqi_index
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-03 14:00:00,2026-07-03,14-15,Friday,0,1054,988,66,200,654,31.13,Low,3.88,0,7.63,9,6.7,2200,0.2,7.03,8,0,0,0,,Clear,29.4,0.0,182
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-03 15:00:00,2026-07-03,15-16,Friday,0,1359,1251,108,275,875,41.65,Medium,4.53,4,6.81,10,6.0,1200,0.2,6.0,8,0,0,0,,Cloudy,29.9,0.6,168
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-03 16:00:00,2026-07-03,16-17,Friday,0,2258,2225,33,333,663,31.56,Low,1.58,3,2.76,7,8.6,2200,0.2,4.82,8,0,0,0,,Rain,29.0,5.9,123
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-03 17:00:00,2026-07-03,17-18,Friday,0,2050,1930,120,431,789,37.55,Medium,2.04,4,3.47,10,6.0,2200,0.2,10.37,8,0,0,0,,Clear,28.2,0.0,170
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-03 18:00:00,2026-07-03,18-19,Friday,0,2516,2186,330,431,1210,57.59,Medium,3.1,20,7.89,6,10.0,2200,0.223,5.85,8,0,0,0,,Clear,28.9,0.0,166
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-03 19:00:00,2026-07-03,19-20,Friday,0,2075,2275,-200,364,170,8.09,Low,4.52,15,5.07,10,6.0,2200,0.2,8.07,8,0,0,0,,Light Rain,30.0,10.8,111
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-03 20:00:00,2026-07-03,20-21,Friday,0,2270,2001,269,367,1154,54.93,Medium,5.89,23,7.51,9,6.7,1200,0.244,6.4,8,0,0,0,,Rain,28.8,12.0,55
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-03 21:00:00,2026-07-03,21-22,Friday,0,995,949,46,154,577,27.46,Low,4.28,12,6.84,6,10.0,1500,0.2,6.38,8,0,0,0,,Cloudy,33.8,1.9,105
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-04 06:00:00,2026-07-04,06-07,Saturday,1,784,594,190,144,932,44.36,Medium,4.93,33,3.66,6,10.0,1500,0.2,7.54,8,0,0,0,,Clear,28.9,0.0,141
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-04 07:00:00,2026-07-04,07-08,Saturday,1,1365,1370,-5,290,437,20.8,Low,5.35,20,7.53,8,7.5,2200,0.2,8.6,8,0,0,0,,Light Rain,26.1,9.3,97
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-04 08:00:00,2026-07-04,08-09,Saturday,1,1630,1421,209,259,946,45.03,Medium,3.71,8,1.97,9,6.7,2200,0.2,7.05,8,0,0,0,,Cloudy,34.9,0.4,176
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-04 09:00:00,2026-07-04,09-10,Saturday,1,1534,1151,383,309,1274,60.64,Medium,3.06,5,7.04,8,7.5,1200,0.2,7.87,8,0,0,0,,Cloudy,35.0,0.8,82
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-04 10:00:00,2026-07-04,10-11,Saturday,1,995,722,273,203,1023,48.69,Medium,3.8,29,2.46,6,10.0,2200,0.2,6.96,8,0,0,0,,Rain,24.5,5.2,70
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-04 11:00:00,2026-07-04,11-12,Saturday,1,1071,804,267,184,1074,51.12,Medium,6.62,22,1.94,7,8.6,2200,0.2,10.0,8,0,0,0,,Light Rain,23.4,3.8,203
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-04 12:00:00,2026-07-04,12-13,Saturday,1,969,823,146,207,1061,50.5,Medium,1.74,1,3.64,7,8.6,1800,0.2,9.43,8,0,0,0,,Cloudy,33.7,0.7,57
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-04 13:00:00,2026-07-04,13-14,Saturday,1,868,745,123,146,896,42.65,Medium,6.81,0,1.18,12,5.0,1800,0.2,5.98,8,0,0,0,,Rain,28.7,2.3,119
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-04 14:00:00,2026-07-04,14-15,Saturday,1,785,1087,-302,139,0,0.0,Low,5.05,8,1.7,11,5.5,2200,0.2,7.92,8,0,0,0,,Cloudy,23.0,1.5,115
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-04 15:00:00,2026-07-04,15-16,Saturday,1,980,930,50,197,523,24.89,Low,5.12,3,6.34,7,8.6,1800,0.2,5.03,8,0,0,0,,Clear,29.2,0.0,164
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-04 16:00:00,2026-07-04,16-17,Saturday,1,1774,1480,294,357,1082,51.5,Medium,3.35,18,3.64,8,7.5,1800,0.2,9.29,8,0,0,0,,Clear,33.8,0.0,188
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-04 17:00:00,2026-07-04,17-18,Saturday,1,1442,1038,404,209,1270,60.45,Medium,4.72,21,1.14,6,10.0,1200,0.229,8.02,8,0,0,0,,Clear,26.8,0.0,129
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-04 18:00:00,2026-07-04,18-19,Saturday,1,1294,1649,-355,228,0,0.0,Low,6.68,0,4.22,7,8.6,2200,0.2,10.69,8,0,0,0,,Light Rain,28.5,5.3,179
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-04 19:00:00,2026-07-04,19-20,Saturday,1,1418,1221,197,224,1169,55.64,Medium,4.67,14,3.28,9,6.7,1200,0.2,6.54,8,0,0,0,,Cloudy,29.0,0.1,58
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-04 20:00:00,2026-07-04,20-21,Saturday,1,1513,1283,230,317,1158,55.12,Medium,4.35,5,4.16,11,5.5,2200,0.2,8.0,8,0,0,0,,Clear,24.6,0.0,121
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-04 21:00:00,2026-07-04,21-22,Saturday,1,766,705,61,129,620,29.51,Low,2.17,8,2.83,8,7.5,2200,0.2,8.35,8,0,0,0,,Rain,27.6,14.9,108
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-05 06:00:00,2026-07-05,06-07,Sunday,1,788,774,14,169,786,37.41,Medium,5.42,22,5.9,8,7.5,1800,0.2,8.48,8,0,0,0,,Clear,26.5,0.0,160
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-05 07:00:00,2026-07-05,07-08,Sunday,1,1530,1582,-52,298,386,18.37,Low,3.06,19,3.31,8,7.5,1500,0.2,6.87,8,0,0,0,,Rain,32.3,10.3,182
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-05 08:00:00,2026-07-05,08-09,Sunday,1,1584,1730,-146,263,404,19.23,Low,3.54,4,4.98,11,5.5,1800,0.2,7.7,8,0,0,0,,Light Rain,29.2,6.2,79
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-05 09:00:00,2026-07-05,09-10,Sunday,1,1309,1325,-16,212,451,21.47,Low,5.7,5,7.04,9,6.7,1200,0.2,7.17,8,0,0,0,,Light Rain,32.6,6.7,142
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-05 10:00:00,2026-07-05,10-11,Sunday,1,711,1017,-306,128,0,0.0,Low,3.3,19,7.79,7,8.6,1500,0.2,9.0,8,0,0,0,,Cloudy,24.0,1.2,126
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-05 11:00:00,2026-07-05,11-12,Sunday,1,1138,779,359,216,1194,56.83,Medium,4.8,11,3.89,10,6.0,1500,0.2,7.69,8,0,0,0,,Cloudy,32.5,1.9,120
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-05 12:00:00,2026-07-05,12-13,Sunday,1,813,809,4,152,559,26.61,Low,4.94,15,2.65,7,8.6,1800,0.2,6.57,8,0,0,0,,Rain,29.2,8.6,176
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-05 13:00:00,2026-07-05,13-14,Sunday,1,1304,1158,146,205,949,45.17,Medium,4.52,17,1.26,7,8.6,1200,0.2,8.42,8,0,0,1,Exhibition,Clear,34.6,0.0,57
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-05 14:00:00,2026-07-05,14-15,Sunday,1,900,718,182,178,999,47.55,Medium,3.95,11,3.66,8,7.5,1800,0.2,9.39,8,0,0,0,,Clear,24.6,0.0,92
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-05 15:00:00,2026-07-05,15-16,Sunday,1,1483,975,508,286,1614,76.82,High,3.21,17,2.14,10,6.0,2200,0.2,6.94,8,0,0,1,Concert,Clear,33.8,0.0,157
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-05 16:00:00,2026-07-05,16-17,Sunday,1,1570,1300,270,299,1067,50.79,Medium,2.87,14,3.78,9,6.7,2200,0.2,8.28,8,0,0,0,,Light Rain,30.2,11.2,129
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-05 17:00:00,2026-07-05,17-18,Sunday,1,1172,1537,-365,237,0,0.0,Low,3.74,19,2.13,6,10.0,1500,0.2,5.77,8,0,0,0,,Light Rain,32.6,12.4,149
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-05 18:00:00,2026-07-05,18-19,Sunday,1,1673,1626,47,257,735,34.98,Low,2.89,16,5.53,11,5.5,1800,0.2,8.38,8,0,0,0,,Clear,26.6,0.0,168
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-05 19:00:00,2026-07-05,19-20,Sunday,1,1616,1019,597,288,1913,91.05,Critical,6.56,16,4.29,12,5.0,2200,0.2,7.15,8,1,0,0,,Rain,35.2,11.5,191
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-05 20:00:00,2026-07-05,20-21,Sunday,1,1807,1582,225,381,910,43.31,Medium,5.95,13,7.14,9,6.7,1200,0.203,7.85,8,0,0,0,,Rain,26.4,7.9,104
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-05 21:00:00,2026-07-05,21-22,Sunday,1,622,578,44,101,910,43.31,Medium,5.69,31,2.05,9,6.7,1500,0.2,7.1,8,0,0,0,,Clear,31.0,0.0,83
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-06 06:00:00,2026-07-06,06-07,Monday,0,787,727,60,130,838,39.89,Medium,1.65,27,2.45,9,6.7,1500,0.2,10.45,8,0,0,0,,Rain,28.9,6.9,76
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-06 07:00:00,2026-07-06,07-08,Monday,0,1620,1602,18,277,679,32.32,Low,3.86,19,4.83,11,5.5,1800,0.2,8.81,8,0,0,0,,Clear,31.1,0.0,207
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-06 08:00:00,2026-07-06,08-09,Monday,0,2449,1936,513,477,1653,78.68,High,2.67,5,1.45,8,7.5,1800,0.203,7.44,8,1,0,1,Sports Event,Cloudy,24.9,1.3,61
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-06 09:00:00,2026-07-06,09-10,Monday,0,1586,1554,32,278,494,23.51,Low,2.47,14,7.15,11,5.5,1800,0.2,8.07,8,0,0,0,,Rain,24.3,11.2,125
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-06 10:00:00,2026-07-06,10-11,Monday,0,1288,1110,178,251,879,41.84,Medium,5.07,13,4.53,11,5.5,1500,0.2,10.51,8,0,0,0,,Rain,29.9,8.2,79
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-06 11:00:00,2026-07-06,11-12,Monday,0,1078,1047,31,212,664,31.6,Low,6.97,26,6.71,6,10.0,1500,0.2,6.21,8,0,0,0,,Clear,34.4,0.0,70
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-06 12:00:00,2026-07-06,12-13,Monday,0,1032,828,204,169,896,42.65,Medium,6.95,8,1.9,10,6.0,1200,0.2,6.78,8,0,0,0,,Rain,28.9,1.1,89
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-06 13:00:00,2026-07-06,13-14,Monday,0,967,1008,-41,196,549,26.13,Low,2.17,18,6.75,6,10.0,1800,0.2,6.99,8,0,0,0,,Light Rain,29.6,2.5,125
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-06 14:00:00,2026-07-06,14-15,Monday,0,934,505,429,182,1455,69.25,High,6.0,13,5.68,7,8.6,1500,0.2,8.33,8,0,0,0,,Cloudy,32.2,2.0,138
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-06 15:00:00,2026-07-06,15-16,Monday,0,1192,978,214,177,1056,50.26,Medium,1.59,22,6.28,11,5.5,1200,0.2,6.2,8,0,0,0,,Rain,31.7,1.5,185
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-06 16:00:00,2026-07-06,16-17,Monday,0,1693,1597,96,246,864,41.12,Medium,2.12,27,6.87,6,10.0,2200,0.2,6.98,8,0,0,0,,Rain,35.2,9.7,163
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-06 17:00:00,2026-07-06,17-18,Monday,0,1410,1406,4,271,464,22.08,Low,2.09,18,3.89,7,8.6,1200,0.2,9.13,8,0,0,0,,Cloudy,23.9,0.9,120
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-06 18:00:00,2026-07-06,18-19,Monday,0,1343,1465,-122,207,214,10.19,Low,4.29,15,6.61,12,5.0,1200,0.2,6.86,8,0,0,0,,Rain,34.4,3.8,61
DEL001,Rajiv Chowk,Delhi,L_YELLOW_BLUE,Yellow-Blue,2026-07-06 19:00:00,2026-07-06,19-20,Monday,0,1732,1364,368,262,1384,65.87,High,6.42,6,4.96,7,8.6,2200,0.2,8.01,8,0,0,0,,Rain,23.8,13.5,58
